0,0.355044
10,0.330430
20,0.319160
30,0.320519
40,0.323978
50,0.327493
60,0.330487
70,0.331839
80,0.340853
90,0.349358
100,0.350667
110,0.355353
120,0.366132
130,0.378529
140,0.378604
150,0.387648
160,0.393133
170,0.405854
180,0.413695
190,0.417874
200,0.422185
210,0.432221
220,0.439082
230,0.450448
240,0.458419
250,0.463406
260,0.470568
270,0.478927
280,0.486761
290,0.492856
300,0.506259
310,0.508975
320,0.531291
330,0.530323
340,0.537795
350,0.543260
360,0.553836
370,0.554171
380,0.571195
390,0.575001
400,0.584976
410,0.590826
420,0.597496
430,0.611006
440,0.617796
450,0.626987
460,0.633446
470,0.657752
480,0.650525
490,0.656305
500,0.668365
510,0.681622
520,0.696447
530,0.713334
540,0.721544
550,0.715344
560,0.749384
570,0.747573
580,0.732676
590,0.750155
600,0.754795
610,0.757139
620,0.768637
630,0.779610
640,0.779364
650,0.794853
660,0.803957
670,0.814071
680,0.817781
690,0.824535
700,0.830833
710,0.839915
720,0.851253
730,0.862842
740,0.869933
750,0.875964
760,0.886771
770,0.894062
780,0.905924
790,0.910438
800,0.918010
810,0.930323
820,0.930116
830,0.944195
840,0.952712
850,0.961108
860,0.971133
870,0.979237
880,0.987843
890,0.991809
900,0.999151
910,1.014297
920,1.017671
930,1.035117
940,1.043555
950,1.047207
960,1.060291
970,1.065958
980,1.072120
990,1.082489
1000,1.096047
